Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
19,Клубника,3192,977,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2013-02-02,2021-06-01,3.92,Cancelled
20,Березовский родник,8013,928,Напитки,Способствует нормализации обмена веществ в организме.,2002-04-10,2013-04-04,4.72,Refunded
21,Пастрома,9682,141,Мясо,"Является источником важных нутриентов, необходимых для роста и развития детей.",2001-01-06,2009-07-17,0.32,In Stock
22,Фахитас с мясом,3384,436,Мясо,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",1995-08-07,2010-01-01,3.39,Cancelled
23,Липецкий бювет,7788,561,Напитки,Помогает поддерживать нормальный уровень электролитов в организме.,1997-01-18,2021-02-07,3.82,Cancelled
24,Каймак,8246,333,Молочные продукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1991-07-04,2019-10-07,3.41,New
25,Паприка острая молотая,6684,35,Бакалея,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",1996-07-06,2008-07-18,1.11,On Backorder
26,Краснодарская,5471,128,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,2013-04-01,2014-03-01,0.19,New
27,Чеснок,3166,920,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2010-02-01,2025-04-07,0.4,Sold
28,Кокос,8795,594,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1992-01-05,1993-02-07,4.05,Shipping
29,Молоко,4233,296,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2016-02-13,2018-01-17,2.57,Awaiting Review
30,Варенец,2822,5,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2006-01-12,2007-02-05,0.49,In Stock
31,Тан,4457,599,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2018-03-03,2019-03-06,4.06,Cancelled
32,Тарелки мелкие,805,850,Товары для дома,"Отличается длительным сроком годности, что позволяет делать запасы.",2010-02-01,2019-05-11,1.33,Awaiting Payment
33,Киви,3558,195,Фрукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1993-03-16,2016-02-13,1.91,Returned
34,Свекла,9839,674,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2000-02-13,2021-05-01,0.52,New
35,Полотенца банные,6851,725,Товары для дома,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2020-07-07,2030-01-07,2.36,On Backorder
36,Энчиладас с мясом,8687,701,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2010-01-23,2028-02-13,0.94,On Backorder
37,Кисель ягодный,7390,445,Напитки,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2004-06-01,2017-02-04,1.5,On Backorder
38,Молочный шоколад,1536,818,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-05-07,2029-02-03,3.73,Refunded
39,Тыква,5457,991,Овощи,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2004-07-03,2030-05-03,0.57,On Backorder
40,Ялтинская,2475,649,Напитки,Помогает сохранять бодрость и активность в течение дня.,2005-08-01,2010-06-15,0.74,Sold
41,Ананас,7641,325,Фрукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2002-01-03,2019-03-10,1.28,Awaiting Payment
42,Мацеста,1065,24,Напитки,Может быть использован в выпечке для придания ей особой пышности и аромата.,2020-02-10,2029-06-18,0.23,Backorder
43,Эмменталь,5345,729,Молочные продукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2019-08-04,2022-03-08,3.6,Cancelled
44,Эмменталь,5578,762,Молочные продукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2008-07-01,2027-05-03,0.42,In Stock
45,Пицца с мясом,3975,683,Мясо,Может быть использован в выпечке для придания ей особой пышности и аромата.,1994-01-12,2028-01-10,2.17,New
46,Пакеты для библиотеки,4346,725,Товары для дома,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2018-01-25,2025-07-13,3.2,Awaiting Payment
47,Киви,4642,955,Фрукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2012-03-04,2017-09-01,2.39,Backorder
48,Ямс,4694,547,Овощи,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2011-01-17,2018-03-01,2.5,Temporarily Unavailable
49,Крыжовник,1737,814,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2007-03-19,2029-05-14,1.56,Refunded
50,Простокваша,9472,245,Молочные продукты,Придает блюдам особую нежность и насыщенность.,2017-01-09,2027-07-04,4.56,Cancelled
51,Мацони,4341,143,Молочные продукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1996-06-05,2003-03-21,2.43,Awaiting Payment
52,Кунжут белый,8931,253,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2005-06-02,2017-04-15,4.35,Awaiting Payment
53,Амурская,3006,958,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2004-08-01,2008-03-25,0.48,Backorder
54,Пельмени,5046,233,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1990-04-01,1991-01-05,1.84,Shipping
55,Кровяная колбаса,3492,593,Мясо,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1990-03-10,1998-04-06,0.77,New
56,Морковь,3024,308,Овощи,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2010-06-01,2026-01-24,0.18,Awaiting Payment
57,Зира молотая,3388,244,Бакалея,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2019-05-10,2028-01-07,0.73,Out of Stock
58,Ставропольская,7077,420,Напитки,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2010-03-03,2030-01-27,1.42,In Stock
59,Открывалка для бутылок,4667,721,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2013-08-09,2027-02-02,0.05,Sold
60,Ряженка,8354,57,Молочные продукты,Отличается удобством использования и экономичностью в расходе.,2011-06-08,2011-08-15,4.18,Backorder
61,Источник Троицкий,9599,104,Напитки,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2000-08-28,2008-04-01,4.58,Refunded
62,Мацони,3415,402,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2016-09-04,2017-01-04,4.39,Sold
63,Свекла,3084,298,Овощи,Подходит для использования в специализированных диетах и лечебных программах.,2017-01-05,2018-05-07,1.8,Out of Stock
64,Мате,4072,401,Напитки,Отличается высокой питательностью и способен быстро утолить голод.,1997-02-23,2018-02-02,4.83,In Stock
65,Кружки,2851,537,Товары для дома,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2007-03-06,2011-02-13,0.51,Sold
66,Тыква,6636,840,Овощи,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2019-03-20,2024-01-08,4.15,Delivered
67,Энчиладас с мясом,5477,799,Мясо,Помогает поддерживать нормальный уровень триглицеридов в крови.,1992-02-06,1998-08-04,4.81,Awaiting Review
68,Овсянка,4513,452,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2014-05-04,2021-01-25,4.27,On Backorder
69,Котлеты,5321,291,Мясо,"Является источником важных нутриентов, необходимых для роста и развития детей.",2004-10-01,2015-01-12,3.22,In Stock
70,Одеяла,232,684,Товары для дома,Может быть использован в качестве заменителя менее полезных продуктов.,1997-05-13,2014-11-15,4.83,In Stock
71,Любисток сушеный,4722,344,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",1993-02-25,1999-04-07,4.49,On Backorder
72,Сэндвичи с ветчиной,9598,467,Мясо,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2012-01-01,2013-07-24,2.11,New
73,Джем,2911,599,Бакалея,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2014-06-01,2027-02-20,1.13,Refunded
74,Пармезан,1486,79,Молочные продукты,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1999-01-17,2023-03-07,1.52,Temporarily Unavailable
75,Тэфф,502,947,Бакалея,Способствует снижению уровня стресса и улучшению настроения.,1990-02-02,1991-01-11,1.51,Out of Stock
76,Бамия,2386,719,Овощи,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2008-01-18,2029-04-01,0.35,Returned
77,Брюква,9525,106,Овощи,Отличается удобством использования и экономичностью в расходе.,1999-07-06,2022-08-13,1.43,In Stock
78,Пакеты для Рождества,2308,966,Товары для дома,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2017-01-12,2020-04-18,4.57,Awaiting Review
79,Пылесос,9333,925,Товары для дома,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1996-01-02,2013-01-21,2.79,In Stock
80,Хинкали,1123,247,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2003-12-06,2017-07-01,4.11,Sold
81,Геркулес,5515,548,Бакалея,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1998-01-03,2020-03-04,2.44,Backorder
82,Пакеты для инструментов,6926,791,Товары для дома,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2016-01-01,2026-01-03,4.14,Refunded
83,Сгущенное молоко,4130,255,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2001-04-03,2018-09-16,3.22,Awaiting Review
84,Серебряный ключ,5797,442,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2008-05-13,2026-04-03,1.42,Returned
85,Амарант крупа,3978,794,Бакалея,Отличается хорошей совместимостью с другими продуктами питания.,2017-07-23,2028-04-01,2.91,Temporarily Unavailable
86,Хабаровская,2911,723,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2003-06-14,2029-01-06,0.32,Available for Pickup
87,Сельдерей сушеный,3009,979,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2015-02-05,2015-02-15,0.54,Shipping
88,Батат,850,570,Овощи,Подходит для использования в рецептах традиционной кухни разных стран.,2005-01-15,2012-02-13,1.44,In Stock
89,Nestea,1261,202,Напитки,Используется в косметологии для ухода за кожей и волосами.,2005-09-02,2006-03-12,0.92,Available for Pickup
90,Пакеты для Дня смеха,5341,651,Товары для дома,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1995-10-02,2004-02-26,0.89,Pending
91,Грейпфрут,2162,531,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-02-01,2022-07-01,4.53,Pending
92,Нектарин,8880,443,Фрукты,Помогает улучшить работу мозга и повысить концентрацию внимания.,2017-01-12,2017-01-12,1.98,Cancelled
93,Курт,6713,75,Молочные продукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2007-03-12,2013-03-01,0.58,Delivered
94,Пакеты для театра,8294,657,Товары для дома,Отличается удобством использования и экономичностью в расходе.,2000-01-07,2013-03-04,1.05,Sold
95,Клюква,7272,963,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,2009-12-10,2020-10-17,0.11,Out of Stock
96,Клюква,1041,732,Фрукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2001-07-09,2020-03-13,0.34,Returned
97,Соус соевый,9415,56,Бакалея,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1995-02-03,2002-04-19,1.41,Pending
98,Пакеты для Пасхи,1849,176,Товары для дома,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2017-02-01,2017-07-01,3.14,Temporarily Unavailable
99,Шпинат,6484,294,Овощи,Прошел строгий контроль качества на всех этапах производства.,1997-03-20,2027-09-10,2.89,Out of Stock
100,Эскалоп,2032,929,Мясо,Придает блюдам особую нежность и насыщенность.,2014-01-02,2022-06-01,0.05,Pending
101,Чеддер,917,164,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1996-09-08,2023-01-06,1.7,In Stock
102,Пастила,9828,395,Бакалея,Отличается высокой питательностью и способен быстро утолить голод.,2006-06-22,2020-08-14,2.97,Available for Pickup
103,Помело,3728,692,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2005-02-07,2025-02-04,3.44,Pending
104,Рамбутан,2455,525,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,1990-06-03,2008-05-06,2.63,Awaiting Review
105,Виноград,8545,795,Фрукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2002-03-12,2015-01-16,1.4,Available for Pickup
106,Козлятина,3953,338,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-08-10,2023-02-17,2.66,Backorder
107,Студень,2329,761,Мясо,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",1997-05-03,2005-02-02,0.24,Delivered
108,Сочи-Адлер,437,795,Напитки,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2022-08-05,2029-02-03,1.61,Shipping
109,Имбирь молотый,5565,625,Бакалея,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2020-01-03,2027-02-03,1.14,Awaiting Review
110,Киви,3303,281,Фрукты,Отличается низким содержанием насыщенных жиров и холестерина.,2017-05-01,2025-01-12,1.13,Awaiting Review
111,Марьинская,4101,4,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1997-02-21,2028-02-16,4.94,Out of Stock
112,Кондиционер для волос,998,758,Товары для дома,Используется в косметологии для ухода за кожей и волосами.,2016-10-17,2025-01-11,2.89,Pending
113,Нектарин,9389,605,Фрукты,"Обладает мягким вкусом, который нравится многим потребителям.",2002-04-21,2022-03-23,1.4,Out of Stock
114,Яблоко,4807,676,Фрукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,1991-08-19,2018-02-01,4.93,New
115,Каша из дробленной манной крупы,9950,485,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,2010-04-14,2025-10-10,2.9,Temporarily Unavailable
116,Айран,731,810,Молочные продукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2013-07-03,2023-01-04,1.84,Backorder
117,Капуста белокочанная,8247,639,Овощи,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2011-01-04,2024-01-10,4.47,Returned
118,Зубная паста,908,310,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2015-03-03,2030-01-05,0.43,Shipping
119,Эмменталь,1708,879,Молочные продукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2021-09-03,2026-05-14,0.65,Awaiting Review
120,Голландский сыр,6995,972,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1997-01-01,2001-05-05,1.94,Available for Pickup
121,Мята перечная сушеная,3132,370,Бакалея,Помогает улучшить работу мозга и повысить концентрацию внимания.,2004-06-08,2018-01-04,0.69,Temporarily Unavailable
122,Сода пищевая,9845,105,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1992-02-12,2016-02-06,1.78,Sold
123,Тартар,9955,365,Мясо,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2018-01-25,2028-01-01,1.4,Out of Stock
124,Чеснок,5817,379,Овощи,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2012-01-02,2025-01-02,3.05,Out of Stock
125,Моцарелла,5028,823,Молочные продукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2017-09-04,2023-03-07,3.72,Temporarily Unavailable
126,Дезодорант,405,562,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1997-03-04,2021-05-01,3.37,Awaiting Payment
127,Чебуреки,6933,69,Мясо,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2013-05-15,2016-01-02,1.83,Sold
128,Шелковица,3572,769,Фрукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2016-07-06,2019-05-01,4.07,Delivered
129,Гранат,1524,799,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,2001-07-01,2022-02-05,3.68,New
130,Каша из теффа,5737,540,Бакалея,Способствует нормализации обмена веществ в организме.,2020-01-15,2023-02-01,0.67,On Backorder
131,Кефир,1322,78,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1994-07-17,2003-03-09,2.68,Shipping
132,Петрушка корневая,3238,410,Овощи,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2012-05-05,2024-01-13,4.1,Returned
133,Черешня,8174,410,Фрукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1991-02-20,2015-03-12,1.79,Pending
134,Фарш куриный,9850,427,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2008-01-03,2011-01-05,0.86,Out of Stock
135,Карбонад,5260,581,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2017-06-01,2030-02-22,1.42,Shipping
136,Камамбер,6800,106,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2006-11-01,2014-06-02,3.12,Backorder
137,Курт,3862,736,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2003-09-07,2023-02-18,2.4,In Stock
138,Спаржа,2537,326,Овощи,Помогает поддерживать нормальный уровень гормонов в организме.,2020-10-01,2030-05-03,0.22,On Backorder
139,Кольраби,8712,222,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2011-04-07,2012-04-07,0.78,Awaiting Review
140,Пакеты для спортзала,5031,425,Товары для дома,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2009-08-02,2013-02-08,1.83,Sold
141,Балаковская,8049,606,Напитки,Подходит для использования в качестве основы для смузи и коктейлей.,2009-01-05,2027-03-04,4.97,Returned
142,Златоустовская,5200,141,Напитки,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1995-06-12,2016-08-11,3.04,Temporarily Unavailable
143,Уксус,972,126,Бакалея,Придает блюдам особую нежность и насыщенность.,1990-03-06,2005-02-06,1.86,On Backorder
144,Горох,682,717,Овощи,Помогает поддерживать нормальный обмен веществ и метаболизм.,2012-07-03,2013-07-08,2.14,Pending
145,Ливерная колбаса,5759,507,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2020-08-13,2030-01-21,3.51,Available for Pickup
146,Холодный чай с лимоном,2794,855,Напитки,Способствует снижению уровня стресса и улучшению настроения.,2003-01-16,2014-05-18,2.16,Backorder
147,Наборы столовых приборов,7629,417,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2007-01-02,2008-02-06,1.62,Sold
148,Картофель,3021,955,Овощи,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1995-06-16,2005-06-06,4.25,Awaiting Payment
149,Масло оливковое,1985,261,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2012-01-01,2016-02-15,4.68,New
150,Редис,1456,67,Овощи,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",1991-01-11,2001-10-05,0.91,Awaiting Review
151,Утиная печень,8645,489,Мясо,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2017-04-01,2019-02-28,0.38,On Backorder
152,Топлёное молоко,8750,527,Молочные продукты,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1999-01-01,2022-01-08,4.95,Cancelled
153,Шаурма,149,739,Мясо,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2011-01-12,2020-05-09,0.68,Pending
154,Щелковская,2700,973,Напитки,Отличается хорошей совместимостью с другими продуктами питания.,1993-03-01,1995-02-01,1.11,Sold
155,Пушкинская,5041,507,Напитки,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2016-05-11,2023-07-15,0.86,On Backorder
156,Чизбургеры,4954,830,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1990-01-01,2019-03-08,1.64,Out of Stock
157,Пакеты для концерта,8740,409,Товары для дома,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2004-02-01,2008-05-01,3.58,Returned
