product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
23,Бамия,3534,320,Овощи,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2016-08-03,2027-01-02,3.52,Returned
24,Конопляные семена,2930,109,Бакалея,Помогает поддерживать нормальный уровень сахара в крови.,1997-05-04,2020-06-09,3.61,Cancelled
25,Зеленый перец молотый,2992,375,Бакалея,Служит основой для создания множества кулинарных шедевров.,2017-03-12,2028-03-08,3.82,Awaiting Review
26,Фарш индюшиный,5816,748,Мясо,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2010-03-10,2011-05-17,3.99,Temporarily Unavailable
27,Робот-пылесос,3801,720,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2020-01-14,2020-04-01,0.3,Cancelled
28,Лопатка,889,769,Мясо,"Отличается приятным ароматом, который усиливает аппетит.",1990-08-05,1998-06-10,1.38,Awaiting Payment
29,Черешня,334,983,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2005-04-14,2008-07-09,2.59,On Backorder
30,Баранина,9241,503,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,1992-01-07,2019-02-28,1.68,Sold
31,Сода пищевая,6156,839,Бакалея,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2014-02-02,2029-02-09,0.33,Returned
32,Сок томатный,7321,324,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2019-05-01,2030-01-11,2.43,New
33,Цветная капуста,2695,674,Овощи,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2011-05-13,2014-05-21,3.07,In Stock
34,Авокадо,706,406,Фрукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2017-02-11,2017-06-02,1.36,Refunded
35,Тэфф,7469,877,Бакалея,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1998-03-02,2024-11-11,1.75,In Stock
36,Ромштекс,8040,542,Мясо,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2001-05-04,2005-01-26,1.93,Awaiting Payment
37,Щавель,8970,399,Овощи,Помогает поддерживать нормальный уровень артериального давления.,2013-04-03,2015-01-26,2.97,In Stock
38,Клубника,5458,451,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2019-08-10,2029-04-16,3.47,Temporarily Unavailable
39,Пакеты для школы,5351,973,Товары для дома,Помогает укрепить иммунную систему и защитить организм от инфекций.,2016-02-16,2020-03-07,0.54,Awaiting Review
40,Растительное масло кокосовое,2127,636,Бакалея,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2003-08-04,2022-06-07,0.2,Delivered
41,Брынза,5889,995,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",1999-01-01,2016-06-03,1.7,Awaiting Review
42,Российский сыр,997,14,Молочные продукты,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2016-03-01,2025-01-07,1.11,Shipping
43,Домашние колбасы,1155,337,Мясо,Помогает поддерживать нормальный уровень pH в организме.,1990-05-06,2022-01-05,1.57,Awaiting Payment
44,Спаржа,9003,44,Овощи,Может использоваться в вегетарианской диете как источник белка.,2021-02-19,2027-01-09,4.42,Sold
45,Новошахтинская,6606,241,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2001-01-03,2003-02-08,2.19,Backorder
46,Киви,7087,563,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,1999-03-02,2017-02-02,4.61,Temporarily Unavailable
47,Морс брусничный,6142,120,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1994-03-04,2021-02-21,3.12,Cancelled
48,Кабачок,1164,648,Овощи,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2017-02-09,2020-01-01,0.91,Refunded
49,Фахитас с мясом,6147,414,Мясо,Подходит для использования в специализированных диетах и лечебных программах.,2007-02-04,2009-08-01,1.58,Cancelled
50,Вяленое мясо,7600,731,Мясо,"Обладает мягким вкусом, который нравится многим потребителям.",2008-08-05,2011-01-10,3.57,Awaiting Review
51,Морс брусничный,3762,444,Напитки,Помогает предотвратить дефицит витаминов и минералов в организме.,2015-04-04,2017-04-21,2.01,Delivered
52,Какао-порошок,7470,396,Бакалея,"Обладает мягким вкусом, который нравится многим потребителям.",2018-01-11,2021-02-17,4.07,Available for Pickup
53,Йогурт,5935,433,Молочные продукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2013-02-10,2023-01-17,0.39,Out of Stock
54,Кольраби,9121,813,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,2010-09-09,2012-12-12,0.87,New
55,Растительное масло кукурузное,154,540,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2020-09-03,2021-07-01,2.44,Returned
56,Эмменталь,6977,303,Молочные продукты,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1998-07-03,2026-01-01,1.56,Available for Pickup
57,Какао-порошок,3448,11,Бакалея,Прошел сертификацию на соответствие требованиям органических стандартов.,2020-04-03,2022-02-07,2.16,Delivered
58,Помело,3742,379,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2016-10-06,2024-05-11,2.78,Awaiting Payment
59,Ямайский перец горошком,6959,431,Бакалея,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2007-03-02,2029-02-02,1.15,Shipping
60,Кефир,6560,939,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2001-01-02,2027-09-07,1.96,Refunded
61,Каша из дробленной кускусовой крупы,9673,662,Бакалея,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2020-09-01,2023-05-09,4.84,Refunded
62,Кольраби,8600,917,Овощи,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1995-01-03,1998-02-15,1.88,New
63,Крахмал картофельный,3274,70,Бакалея,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1992-04-01,2026-08-09,3.09,New
64,Яблоко,5897,413,Фрукты,Подходит для людей с чувствительным пищеварением.,2014-01-19,2029-01-01,4.6,New
65,Сергиево-Посадская,9701,445,Напитки,"Обладает мягким вкусом, который нравится многим потребителям.",2021-01-28,2029-03-19,0.37,Out of Stock
66,Мед,2128,485,Бакалея,Отличается хорошей совместимостью с другими продуктами питания.,1994-02-26,2021-02-19,2.77,Temporarily Unavailable
67,Противни,2156,913,Товары для дома,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2016-03-12,2023-01-15,1.07,Awaiting Payment
68,Анис звездчатый,6406,601,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2017-04-10,2029-03-23,1.26,Cancelled
69,Судакская,165,138,Напитки,Способствует нормализации обмена веществ в организме.,1991-06-08,2010-04-06,0.37,Temporarily Unavailable
70,Шпик,9146,907,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2007-02-26,2017-01-02,4.21,Awaiting Review
71,Помидор,6265,426,Овощи,Помогает улучшить работу мозга и повысить концентрацию внимания.,2018-04-13,2027-01-01,2.68,Cancelled
72,Белый шоколад,1776,316,Бакалея,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2011-07-16,2019-11-12,3.27,Delivered
73,Каша из дробленной ржаной крупы,1699,807,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1992-01-01,2007-02-13,0.32,Temporarily Unavailable
74,Сервелат,588,910,Мясо,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1991-03-06,2009-01-07,0.16,Sold
75,Крыжовник,2923,459,Фрукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2009-06-14,2030-08-03,0.01,Pending
76,Подставки под горячие блюда,6384,932,Товары для дома,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1994-06-04,1998-02-02,0.23,Out of Stock
77,Гранат,6118,285,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2015-09-06,2027-06-06,1.22,New
78,Миринда,1336,496,Напитки,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2013-01-03,2025-02-01,3.39,Out of Stock
79,Цветная капуста,5062,437,Овощи,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1996-01-04,2006-01-02,2.34,Awaiting Review
80,Мандарин,7576,491,Фрукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2022-11-18,2030-02-07,2.52,Cancelled
81,Помидор,9398,973,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,1993-06-05,2013-06-04,0.35,Delivered
82,Эндивий,7264,219,Овощи,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2016-04-04,2028-03-03,3.0,Out of Stock
83,Творог,9011,453,Бакалея,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-04-11,2004-03-21,3.54,Shipping
84,Чеддер,7885,101,Молочные продукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2004-02-05,2029-05-07,1.42,Temporarily Unavailable
85,Варенец,1961,955,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1996-01-15,2015-02-07,3.03,Delivered
86,Окра,5567,580,Овощи,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2002-09-12,2014-01-06,4.37,Cancelled
87,Лимон,7711,259,Фрукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2021-02-07,2026-01-18,4.87,Awaiting Payment
88,Каша из дробленной овсянки,9795,729,Бакалея,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1992-09-03,2022-04-01,3.04,Cancelled
89,Донер-кебаб,7167,502,Мясо,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2007-10-02,2027-02-20,2.69,Awaiting Payment
90,Петрушка корневая,6736,372,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-06-02,2030-04-11,0.69,Awaiting Payment
91,Пастрома,1484,665,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,1997-01-01,2014-09-06,1.37,New
92,Ананас,1453,395,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2006-02-17,2018-09-02,2.96,Sold
93,Масло сливочное,6907,746,Молочные продукты,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1991-02-01,2020-02-04,1.49,Cancelled
94,Голландский сыр,7531,503,Молочные продукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2000-01-10,2014-03-01,1.36,Sold
95,Пахта,8614,728,Молочные продукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2004-09-18,2021-02-01,3.23,In Stock
96,Вологодская,7673,67,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",1993-10-03,2022-07-04,2.54,Temporarily Unavailable
97,Киви,9950,408,Фрукты,Широко используется в традиционной и современной кухне.,2013-01-09,2022-01-03,2.79,Available for Pickup
98,Пакеты для игрушек,3899,99,Товары для дома,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2008-05-03,2019-01-19,4.55,Delivered
99,Абрикос,2401,614,Фрукты,Может использоваться в косметических процедурах для увлажнения кожи.,1992-01-02,2016-03-13,0.29,New
100,Мацони,8452,363,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",2018-04-13,2023-01-21,1.89,On Backorder
101,Мортаделла,9635,536,Мясо,Является важным элементом спортивного питания для восстановления после тренировок.,2020-04-01,2022-08-05,2.94,On Backorder
102,Темный шоколад,3004,938,Бакалея,Помогает поддерживать нормальный уровень электролитов в организме.,2005-01-08,2024-02-18,0.38,Returned
103,Полотенца банные,4539,93,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,1992-04-10,2008-01-07,2.47,Pending
104,Чабрец сушеный,3679,958,Бакалея,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2000-01-04,2027-05-09,1.26,Returned
105,Гусиные потроха,1742,357,Мясо,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2011-06-08,2018-03-01,2.49,New
106,Пакеты для кемпинга,4788,208,Товары для дома,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2002-02-03,2003-03-02,0.9,On Backorder
107,Эндивий,9225,331,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2000-01-06,2006-05-07,2.69,Refunded
108,Березовский родник,4745,776,Напитки,"Подходит для людей всех возрастов, включая детей и пожилых.",2020-05-01,2027-09-01,0.21,Refunded
